지층/토사 후보 도면 정밀 텍스트 추출 결과
========================================================================================================================

[대상 파일]
C:\UnityProjects\SafeAR_Wangsuk_Viewer\Assets\StreamingAssets\WangsukDXF\SourceDXF\unzipped\dxf\1.토공사\C-106~110 단지횡단면도(1)~(5).dxf
C:\UnityProjects\SafeAR_Wangsuk_Viewer\Assets\StreamingAssets\WangsukDXF\SourceDXF\unzipped\dxf\6.가시설공사\C-648 흙막이시공 및 해체 순서도 (1).dxf
C:\UnityProjects\SafeAR_Wangsuk_Viewer\Assets\StreamingAssets\WangsukDXF\SourceDXF\unzipped\dxf\단면도 모음.dxf
C:\UnityProjects\SafeAR_Wangsuk_Viewer\Assets\StreamingAssets\WangsukDXF\SourceDXF\unzipped\dxf\가시설 상세도 합본.dxf

[키워드 후보 텍스트]
------------------------------------------------------------------------------------------------------------------------
C-106~110 단지횡단면도(1)~(5).dxf | 풍화토 | x=5193.5, y=2822.0, layer=Layer, type=BLOCK_TEXT, source=virtual_block
C-106~110 단지횡단면도(1)~(5).dxf | 퇴적층 | x=5193.5, y=2823.7, layer=Layer, type=BLOCK_TEXT, source=virtual_block
C-106~110 단지횡단면도(1)~(5).dxf | EL.(+) 38.594 | x=5220.3, y=2828.4, layer=주상도, type=BLOCK_TEXT, source=virtual_block
C-106~110 단지횡단면도(1)~(5).dxf | 매립층 | x=5218.9, y=2827.8, layer=Layer, type=BLOCK_TEXT, source=virtual_block
C-106~110 단지횡단면도(1)~(5).dxf | 퇴적층 | x=5218.9, y=2826.8, layer=Layer, type=BLOCK_TEXT, source=virtual_block
C-106~110 단지횡단면도(1)~(5).dxf | 퇴적층 | x=5218.9, y=2823.9, layer=Layer, type=BLOCK_TEXT, source=virtual_block
C-106~110 단지횡단면도(1)~(5).dxf | 풍화암 | x=5218.9, y=2820.9, layer=Layer, type=BLOCK_TEXT, source=virtual_block
C-106~110 단지횡단면도(1)~(5).dxf | 풍화토 | x=5218.9, y=2821.9, layer=Layer, type=BLOCK_TEXT, source=virtual_block
C-106~110 단지횡단면도(1)~(5).dxf | 퇴적층 | x=5218.9, y=2825.6, layer=Layer, type=BLOCK_TEXT, source=virtual_block
C-106~110 단지횡단면도(1)~(5).dxf | EL.(+) 38.716 | x=5548.3, y=2718.5, layer=주상도, type=BLOCK_TEXT, source=virtual_block
